domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	phylum	Pseudomonadota	324613	46828	32273	5	351	795	4932	32273
Bacteria	phylum	Patescibacteriota	16000	10945	7929	27	238	752	3454	7929
Bacteria	phylum	Bacillota	228026	27167	16863	48	179	550	3257	16863
Bacteria	phylum	Bacteroidota	107378	23901	15468	5	66	354	2462	15468
Bacteria	phylum	Actinomycetota	80926	24968	16115	17	80	287	1993	16115
Bacteria	phylum	Planctomycetota	7556	4995	2625	29	60	142	1186	2625
Bacteria	phylum	Chloroflexota	10423	6831	2951	12	97	250	1062	2951
Bacteria	phylum	Acidobacteriota	10449	7453	4332	19	61	142	985	4332
Bacteria	phylum	Desulfobacterota	8888	4552	2702	40	61	244	918	2702
Bacteria	phylum	Verrucomicrobiota	10795	4825	2572	4	37	221	694	2572
Bacteria	phylum	Cyanobacteriota	8830	3330	2263	3	36	88	526	2263
Bacteria	phylum	Bacillota_I	14528	3799	2187	1	16	43	513	2187
Bacteria	phylum	Myxococcota_A	2374	1658	887	9	34	89	406	887
Bacteria	phylum	Omnitrophota	1392	1030	527	5	41	81	366	527
Bacteria	phylum	Spirochaetota	6259	2013	1113	16	52	104	338	1113
Bacteria	phylum	Gemmatimonadota	3148	2020	1018	3	6	13	267	1018
Bacteria	phylum	Bdellovibrionota	1177	851	560	9	12	37	245	560
Bacteria	phylum	Nitrospirota	2007	1106	697	9	19	46	244	697
Bacteria	phylum	Armatimonadota	1003	638	423	15	23	44	202	423
Bacteria	phylum	Chlamydiota	1289	560	349	1	1	41	189	349
Bacteria	phylum	Myxococcota	745	486	326	11	13	33	129	326
Bacteria	phylum	Campylobacterota	14392	1516	1070	1	1	24	120	1070
Bacteria	phylum	Babelota	315	261	189	1	1	19	112	189
Bacteria	phylum	Elusimicrobiota	1004	534	321	6	17	33	112	321
Bacteria	phylum	Zixibacteria	351	285	198	1	10	19	107	198
Bacteria	phylum	Fidelibacterota	1115	425	190	6	7	30	89	190
Bacteria	phylum	Hydrothermota	535	272	181	7	21	40	89	181
Bacteria	phylum	Vulcanimicrobiota	700	454	247	9	11	17	86	247
Bacteria	phylum	Zhuqueibacterota	270	167	105	3	8	20	69	105
Bacteria	phylum	Krumholzibacteriota	274	208	125	1	6	9	63	125
Bacteria	phylum	Margulisbacteria	229	146	72	5	21	34	62	72
Bacteria	phylum	Synergistota	760	268	176	3	4	13	62	176
Bacteria	phylum	Eisenbacteria	233	206	121	1	9	16	61	121
Bacteria	phylum	Deinococcota	756	367	266	1	1	5	55	266
Bacteria	phylum	Cloacimonadota	592	232	151	1	3	15	54	151
Bacteria	phylum	Fibrobacterota	553	296	172	4	7	18	52	172
Bacteria	phylum	UBA10199	127	93	63	1	9	24	51	63
Bacteria	phylum	Hydrogenedentota	227	135	86	2	3	14	49	86
Bacteria	phylum	Methylomirabilota	364	251	104	1	3	9	45	104
Bacteria	phylum	Bdellovibrionota_C	157	124	73	1	2	31	44	73
Bacteria	phylum	Thermotogota	598	151	117	1	7	10	44	117
Bacteria	phylum	Oederibacteriota	150	99	60	7	8	19	42	60
Bacteria	phylum	Bdellovibrionota_B	167	131	83	1	3	14	40	83
Bacteria	phylum	Calditrichota	110	86	53	1	3	8	39	53
Bacteria	phylum	Electryoneota	93	79	51	6	6	7	38	51
Bacteria	phylum	Bipolaricaulota	305	184	71	1	6	11	37	71
Bacteria	phylum	Sumerlaeota	111	75	43	1	9	14	37	43
Bacteria	phylum	Aquificota	379	178	114	1	2	5	32	114
Bacteria	phylum	Auribacterota	108	79	41	10	12	16	32	41
Bacteria	phylum	Desulfobacterota_D	228	120	94	1	2	9	31	94
Bacteria	phylum	Fusobacteriota	1384	194	142	1	3	7	29	142
Bacteria	phylum	Latescibacterota	320	168	52	7	8	10	27	52
Bacteria	phylum	Muiribacteriota	115	87	44	7	8	8	25	44
Bacteria	phylum	SAR324	442	88	35	1	2	4	25	35
Bacteria	phylum	Sysuimicrobiota	207	94	54	1	1	5	24	54
Bacteria	phylum	Caldisericota	221	93	51	2	6	7	23	51
Bacteria	phylum	Nitrospinota	236	120	57	1	5	8	22	57
Bacteria	phylum	Poribacteria	268	176	133	2	5	8	20	133
Bacteria	phylum	Atribacterota	159	86	43	3	3	7	19	43
Bacteria	phylum	Chrysiogenota	644	68	53	2	3	10	19	53
Bacteria	phylum	Nitrospinota_A	41	33	22	1	2	7	19	22
Bacteria	phylum	Hinthialibacterota	60	35	18	1	2	4	15	18
Bacteria	phylum	UBP6	70	39	27	2	2	6	15	27
Bacteria	phylum	UBP14	34	26	18	1	6	6	13	18
Bacteria	phylum	Bdellovibrionota_G	20	17	13	3	3	5	12	13
Bacteria	phylum	Fermentibacterota	118	70	46	1	1	2	12	46
Bacteria	phylum	CLD3	37	20	16	1	2	3	11	16
Bacteria	phylum	Lernaellota	23	17	14	1	3	4	11	14
Bacteria	phylum	Ratteibacteria	109	65	31	1	3	5	11	31
Bacteria	phylum	UBA9089	38	25	18	5	5	6	11	18
Bacteria	phylum	RBG-13-61-14	13	13	12	1	2	5	10	12
Bacteria	phylum	UBA8248	93	51	29	1	2	3	10	29
