domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	class	Ktedonobacteria	201	169	31	0	1	4	18	31
Bacteria	class	Deferrimicrobia	136	78	57	0	2	2	18	57
Bacteria	class	Marinamargulisbacteria	91	55	18	0	9	15	18	18
Bacteria	class	Armatimonadia	79	71	45	0	1	2	17	45
Bacteria	class	Desulfobaccia	126	83	58	0	1	2	17	58
Bacteria	class	Hydrothermia	185	64	44	0	6	11	17	44
Bacteria	class	CPR2	49	32	22	0	2	6	17	22
Bacteria	class	Deferribacteres	640	65	50	0	2	9	16	50
Bacteria	class	WTBG01	54	42	21	0	3	4	16	21
Bacteria	class	UBA2242	95	42	23	0	1	4	16	23
Bacteria	class	MHYJ01	60	56	17	0	3	9	16	17
Bacteria	class	QNDG01	32	31	20	0	1	7	16	20
Bacteria	class	Humimicrobiia	117	87	48	0	3	3	15	48
Bacteria	class	Rubrobacteria	138	104	49	0	1	1	15	49
Bacteria	class	UBA6077	88	66	15	0	2	10	15	15
Bacteria	class	Sericytochromatia	54	47	23	0	2	6	15	23
Bacteria	class	Hinthialibacteria	60	35	18	0	2	4	15	18
Bacteria	class	UBA2968	263	132	34	0	2	3	15	34
Bacteria	class	UBA727	47	38	24	0	1	5	15	24
Bacteria	class	UBA8108	164	59	31	0	2	5	15	31
Bacteria	class	Thermosediminibacteria	92	34	23	0	2	4	14	23
Bacteria	class	UBA9217	80	64	32	0	1	1	14	32
Bacteria	class	B15-G4	45	42	19	0	1	4	14	19
Bacteria	class	PLA2	47	40	17	0	1	2	14	17
Bacteria	class	Magnetococcia	86	56	34	0	1	10	14	34
Bacteria	class	Brevinematia	54	43	30	0	2	7	14	30
Bacteria	class	Hebobacteria	41	31	15	0	4	4	13	15
Bacteria	class	UBA11872	205	98	64	0	4	6	13	64
Bacteria	class	UBA6098	34	26	18	0	6	6	13	18
Bacteria	class	UBA1177	67	36	25	0	1	5	13	25
Bacteria	class	DSM-521	65	28	25	0	1	3	12	25
Bacteria	class	UBA994	39	27	23	0	3	3	12	23
Bacteria	class	FAC87	53	38	28	0	1	2	12	28
Bacteria	class	BSN033	83	68	32	0	2	3	12	32
Bacteria	class	Fermentibacteria	118	70	46	0	1	2	12	46
Bacteria	class	Ozemobacteria	70	51	27	0	1	1	12	27
Bacteria	class	SZUA-567	72	62	18	0	3	3	12	18
Bacteria	class	CLD3	37	20	16	0	2	3	11	16
Bacteria	class	Lernaellaia	23	17	14	0	3	4	11	14
Bacteria	class	XYA12-FULL-58-9	29	22	13	0	1	8	11	13
Bacteria	class	Muellerivitia	35	32	18	0	1	2	11	18
Bacteria	class	PGYV01	33	24	17	0	1	7	11	17
Bacteria	class	UBA8468	109	65	31	0	3	5	11	31
Bacteria	class	AC-67	24	21	11	0	1	1	10	11
Bacteria	class	Chlorobiia	591	140	107	0	1	4	10	107
Bacteria	class	JALEGL01	18	15	11	0	1	3	10	11
Bacteria	class	AABM5-125-24	18	16	10	0	1	1	10	10
Bacteria	class	UBA3072	40	26	16	0	2	3	10	16
Bacteria	class	Kuafuiibacteriia	26	20	14	0	1	1	10	14
Bacteria	class	4484-211	15	13	10	0	1	3	10	10
Bacteria	class	PUPC01	31	25	10	0	4	4	10	10
Bacteria	class	RBG-13-61-14	13	13	12	0	2	5	10	12
Bacteria	class	UBA8248	93	51	29	0	2	3	10	29
Bacteria	class	4484-113	27	24	13	0	2	3	9	13
Bacteria	class	Arandabacteria	22	18	10	0	2	3	9	10
Bacteria	class	Atribacteria	70	32	19	0	1	4	9	19
Bacteria	class	Phoenicimicrobiia	87	52	23	0	1	2	9	23
Bacteria	class	Thermoanaerobacteria	150	40	37	0	2	4	9	37
Bacteria	class	UBA2394	15	14	10	0	1	1	9	10
Bacteria	class	Desulfurellia	67	37	21	0	3	4	9	21
Bacteria	class	Deferrisomatia	24	21	13	0	1	3	9	13
Bacteria	class	Thermodesulfobacteria	121	63	39	0	1	3	9	39
Bacteria	class	B64-G9	22	18	12	0	1	1	9	12
Bacteria	class	JABMPQ01	16	16	11	0	1	8	9	11
Bacteria	class	GCA-002687715	32	23	13	0	1	4	9	13
Bacteria	class	SZUA-182	20	20	11	0	3	5	9	11
Bacteria	class	Xenobia	78	44	24	0	2	4	9	24
Bacteria	class	SURF-5	11	11	9	0	2	2	8	9
Bacteria	class	UBA4820	51	30	23	0	1	2	8	23
Bacteria	class	Proteinivoracia	54	16	13	0	2	4	8	13
Bacteria	class	UBA2428	22	20	10	0	1	1	8	10
Bacteria	class	B3-LCP	10	9	8	0	1	1	8	8
Bacteria	class	Electryoneia	18	16	12	0	1	1	8	12
Bacteria	class	RPQS01	40	31	16	0	1	2	8	16
Bacteria	class	UBA3073	28	22	12	0	3	6	8	12
Bacteria	class	Joyebacteria	49	31	20	0	1	1	8	20
Bacteria	class	Riflemargulisbacteria	25	13	10	0	2	4	8	10
Bacteria	class	JAAXVQ01	18	15	12	0	1	2	8	12
Bacteria	class	GWE2-31-10	44	20	10	0	1	4	8	10
Bacteria	class	HRBIN11	14	13	9	0	3	3	7	9
Bacteria	class	UBA890	42	26	12	0	1	2	7	12
Bacteria	class	CALGFH01	30	22	11	0	2	2	7	11
Bacteria	class	JAICYB01	11	10	7	0	1	1	7	7
Bacteria	class	Aerophobia	41	31	8	0	1	5	7	8
Bacteria	class	Abditibacteriia	47	32	18	0	1	2	7	18
Bacteria	class	JABMQX01	10	10	7	0	2	2	7	7
Bacteria	class	BMS3Abin14	23	16	10	0	1	1	7	10
Bacteria	class	DSM-12270	72	30	15	0	1	1	7	15
Bacteria	class	DTU025	73	21	12	0	1	4	7	12
Bacteria	class	DTU030	48	16	13	0	2	3	7	13
Bacteria	class	Thermincolia	20	14	10	0	1	3	7	10
Bacteria	class	JACOXK01	17	12	8	0	2	2	7	8
Bacteria	class	CAIWAD01	21	12	11	0	2	2	7	11
Bacteria	class	UBA5177	30	21	8	0	1	2	7	8
Bacteria	class	B13-G15	26	22	13	0	1	2	7	13
Bacteria	class	Orphanbacteria	12	10	8	0	2	2	7	8
Bacteria	class	Kazan-3B-28	35	26	14	0	1	2	7	14
Bacteria	class	JAJSAM01	18	17	8	0	1	3	7	8
Bacteria	class	B62-G9	23	20	9	0	1	2	7	9
Bacteria	class	TC1	18	15	12	0	1	3	6	12
Bacteria	class	UBA5301	13	11	8	0	4	4	6	8
Bacteria	class	CG2-30-53-67	30	14	11	0	2	2	6	11
Bacteria	class	AC1	35	18	15	0	2	2	6	15
Bacteria	class	UBA8919	16	12	8	0	1	2	6	8
Bacteria	class	CAZMKB01	6	6	6	0	1	2	6	6
Bacteria	class	Glassbacteria	13	13	8	0	1	1	6	8
Bacteria	class	32-111	35	19	14	0	2	2	6	14
Bacteria	class	JAMCPX01	39	13	8	0	2	2	6	8
Bacteria	class	SURF-8	12	10	7	0	1	4	6	7
Bacteria	class	JACRHL01	7	7	6	0	1	1	6	6
Bacteria	class	JACPGU01	8	7	6	0	2	2	6	6
Bacteria	class	UBA11346	57	48	7	0	1	1	6	7
Bacteria	class	UBA8742	48	30	9	0	2	3	6	9
Bacteria	class	SZUA-79	142	38	24	0	1	1	6	24
Bacteria	class	JAHITG01	7	7	6	0	2	4	6	6
Bacteria	class	UBA4055	28	16	11	0	1	1	6	11
Bacteria	class	WVXT01	14	12	9	0	2	3	6	9
Bacteria	class	ARS69	15	12	7	0	1	1	5	7
Bacteria	class	JAAYUB01	27	10	9	0	1	2	5	9
Bacteria	class	Erginobacteria	20	14	8	0	1	4	5	8
Bacteria	class	Tritonobacteria	18	9	7	0	2	2	5	7
Bacteria	class	SHA-98	88	22	17	0	2	3	5	17
Bacteria	class	SLGR01	18	14	6	0	1	3	5	6
Bacteria	class	Anaeroferrophillalia	31	27	15	0	1	2	5	15
Bacteria	class	Desulfofervidia	14	7	6	0	1	2	5	6
Bacteria	class	UBA8477	72	30	13	0	1	2	5	13
Bacteria	class	JAJVIF01	15	14	6	0	3	4	5	6
Bacteria	class	Latescibacteria	13	13	8	0	1	1	5	8
Bacteria	class	D2-FULL-39-29	47	13	6	0	2	4	5	6
Bacteria	class	CPR2_A	11	5	5	0	2	4	5	5
Bacteria	class	JAUYIX01	9	9	6	0	3	3	5	6
Bacteria	class	DG-23	12	12	5	0	5	5	5	5
Bacteria	class	Brachyspiria	358	40	36	0	1	2	5	36
Bacteria	class	Thermosulfidibacteria	31	19	11	0	1	3	5	11
Bacteria	class	CG2-30-40-21	19	12	10	0	1	2	5	10
Bacteria	class	UBA6099	20	13	6	0	1	3	5	6
Bacteria	class	UBA4092	6	5	5	0	2	2	5	5
Bacteria	class	AUK180	11	9	6	0	1	1	4	6
Bacteria	class	JAHEXW01	6	5	5	0	1	3	4	5
Bacteria	class	DTGP01	8	8	5	0	2	4	4	5
Bacteria	class	SYMT01	8	8	5	0	1	1	4	5
Bacteria	class	UBA10988	8	7	4	0	1	1	4	4
Bacteria	class	Auribacteria	11	7	5	0	1	1	4	5
Bacteria	class	Ch66	7	7	5	0	1	2	4	5
Bacteria	class	DULZ01	7	6	4	0	1	1	4	4
Bacteria	class	JAAYKD01	11	10	5	0	1	2	4	5
Bacteria	class	JADQBR01	5	4	4	0	1	1	4	4
Bacteria	class	Natranaerobiia	7	6	5	0	1	2	4	5
Bacteria	class	Blakebacteria	12	10	4	0	1	3	4	4
Bacteria	class	CSSED10-310	12	10	6	0	1	2	4	6
Bacteria	class	DYJV01	6	6	5	0	1	2	4	5
Bacteria	class	Desulfocorpusculales	8	7	6	0	1	1	4	6
Bacteria	class	JADFVX01	6	5	4	0	1	1	4	4
Bacteria	class	SM23-61	21	17	6	0	1	1	4	6
Bacteria	class	Zymogenia	10	10	6	0	1	1	4	6
Bacteria	class	Fidelibacteria	58	35	16	0	1	2	4	16
Bacteria	class	JAGRBM01	6	6	5	0	1	2	4	5
Bacteria	class	Termititenacia	11	11	6	0	2	3	4	6
Bacteria	class	UBA6191	18	18	4	0	2	2	4	4
Bacteria	class	JACRHJ01	16	12	6	0	1	1	4	6
Bacteria	class	Leptospirillia	198	28	7	0	1	1	4	7
Bacteria	class	JAJYGY01	7	7	4	0	1	2	4	4
Bacteria	class	CALEFQ01	6	6	5	0	1	2	4	5
Bacteria	class	CADAWZ01	10	7	5	0	1	2	4	5
Bacteria	class	JAJTBE01	6	4	4	0	1	3	4	4
Bacteria	class	JdFR-76	22	11	6	0	1	2	4	6
Bacteria	class	4572-55	3	3	3	0	2	2	3	3
Bacteria	class	B3-B38	6	5	3	0	1	3	3	3
Bacteria	class	CAIWXX01	6	3	3	0	1	1	3	3
Bacteria	class	Fervidibacteria	75	25	15	0	1	2	3	15
Bacteria	class	HRBIN16	26	18	15	0	1	1	3	15
Bacteria	class	JACPWU01	7	5	3	0	1	1	3	3
Bacteria	class	JAFGBW01	5	4	3	0	1	2	3	3
Bacteria	class	B130-G9	7	7	4	0	1	1	3	4
Bacteria	class	DTU065	31	6	4	0	1	1	3	4
Bacteria	class	DTU086	7	4	4	0	1	1	3	4
Bacteria	class	DUOV01	4	3	3	0	1	1	3	3
Bacteria	class	Desulfitisporia	3	3	3	0	1	2	3	3
Bacteria	class	SLNR01	6	6	4	0	1	2	3	4
Bacteria	class	JABWAT01	7	5	5	0	1	1	3	5
Bacteria	class	JAFGOL01	10	9	3	0	1	1	3	3
Bacteria	class	CAIJMQ01	15	9	5	0	2	3	3	5
Bacteria	class	CALINM01	6	6	5	0	1	1	3	5
Bacteria	class	UBA6262	12	9	8	0	2	2	3	8
Bacteria	class	CG03	18	11	7	0	1	1	3	7
Bacteria	class	JANLFM01	15	9	3	0	1	1	3	3
Bacteria	class	Chrysiogenetes	4	3	3	0	1	1	3	3
Bacteria	class	Coprothermobacteria	26	9	4	0	1	2	3	4
Bacteria	class	Dictyoglomia	32	11	9	0	1	1	3	9
Bacteria	class	JAOADG01	4	4	4	0	1	1	3	4
Bacteria	class	OXYB2-FULL-49-7	15	6	3	0	2	3	3	3
Bacteria	class	SORT01	12	6	4	0	1	1	3	4
Bacteria	class	DG-26	5	3	3	0	2	3	3	3
Bacteria	class	E44-bin80	11	6	3	0	1	1	3	3
Bacteria	class	JAGOEH01	3	3	3	0	1	2	3	3
Bacteria	class	MWCZ01	20	6	4	0	1	2	3	4
Bacteria	class	Macinerneyibacteria	19	10	6	0	1	2	3	6
Bacteria	class	Moduliflexia	9	9	4	0	1	2	3	4
Bacteria	class	UBA9980	14	9	7	0	1	1	3	7
Bacteria	class	JACRCW01	4	4	3	0	2	2	3	3
Bacteria	class	NPL-UPA2	9	8	3	0	1	3	3	3
Bacteria	class	9FT-COMBO-42-15	16	11	5	0	1	1	3	5
Bacteria	class	CAZHWT01	3	3	3	0	1	1	3	3
Bacteria	class	JAHJAL01	9	6	4	0	1	1	3	4
Bacteria	class	SKW154	6	6	3	0	1	2	3	3
Bacteria	class	B26-G2	20	15	9	0	2	3	3	9
Bacteria	class	RBG-13-66-14	10	10	7	0	1	1	3	7
Bacteria	class	RUG730	8	7	3	0	1	2	3	3
Bacteria	class	SM23-81	4	4	3	0	1	1	3	3
Bacteria	class	GWA2-38-11	9	5	4	0	1	2	3	4
Bacteria	class	UBA6919	6	5	3	0	2	3	3	3
Bacteria	class	GBS-1	8	4	4	0	1	1	3	4
Bacteria	class	T1Sed10-126	12	12	3	0	1	1	3	3
Bacteria	class	UBA8481	7	5	3	0	1	2	3	3
Bacteria	class	DATKUA01	5	4	3	0	1	1	2	3
Bacteria	class	G020349885	2	2	2	0	2	2	2	2
Bacteria	class	JACIXR01	7	5	5	0	1	1	2	5
Bacteria	class	UBA6266	8	6	3	0	1	1	2	3
Bacteria	class	DSM-16504	6	5	3	0	1	1	2	3
Bacteria	class	DTU014	29	2	2	0	1	1	2	2
Bacteria	class	GCA-003054495	15	5	2	0	1	2	2	2
Bacteria	class	JAHFAK01	5	4	2	0	1	2	2	2
Bacteria	class	DTOL01	7	5	2	0	1	2	2	2
Bacteria	class	JAJPGV01	7	5	2	0	1	1	2	2
Bacteria	class	HKB111	8	4	2	0	1	1	2	2
Bacteria	class	DAOPZR01	3	2	2	0	1	1	2	2
Bacteria	class	DRYD01	20	11	2	0	1	1	2	2
Bacteria	class	DUMJ01	19	7	7	0	1	1	2	7
Bacteria	class	JAENJC01	5	4	2	0	1	1	2	2
Bacteria	class	JAJRXV01	2	2	2	0	1	1	2	2
Bacteria	class	QYQD01	13	9	7	0	1	1	2	7
Bacteria	class	RBG-13-43-22	22	21	6	0	1	1	2	6
Bacteria	class	S145-22	10	9	5	0	1	1	2	5
Bacteria	class	UBA8473	19	13	6	0	1	1	2	6
Bacteria	class	JBDRMW01	2	2	2	0	1	2	2	2
Bacteria	class	UBA5214	4	3	2	0	2	2	2	2
Bacteria	class	JAANXI01	6	4	2	0	1	1	2	2
Bacteria	class	GCA-001730085	2	2	2	0	1	1	2	2
Bacteria	class	GCA-2686955	5	5	2	0	2	2	2	2
Bacteria	class	CAZGCA01	2	2	2	0	2	2	2	2
Bacteria	class	JAWLBW01	2	2	2	0	1	1	2	2
Bacteria	class	JAAXHH01	59	33	25	0	1	2	2	25
Bacteria	class	JADFOP01	16	3	2	0	2	2	2	2
Bacteria	class	JADJOY01	7	6	3	0	1	1	2	3
Bacteria	class	JAFGKV01	3	3	2	0	1	1	2	2
Bacteria	class	JAGOBX01	9	4	2	0	2	2	2	2
Bacteria	class	JAUVQV01	6	6	3	0	1	2	2	3
Bacteria	class	JAUYMQ01	3	3	2	0	1	1	2	2
Bacteria	class	JAQTZZ01	2	2	2	0	1	1	2	2
Bacteria	class	Muiribacteriia	8	4	2	0	1	1	2	2
Bacteria	class	SpSt-1050	7	5	4	0	1	2	2	4
Bacteria	class	UBA4151	14	6	4	0	1	1	2	4
Bacteria	class	JAUVJM01	3	3	2	0	1	1	2	2
Bacteria	class	CAKKRA01	12	6	3	0	1	1	2	3
Bacteria	class	CAKKQC01	6	5	2	0	1	1	2	2
Bacteria	class	4484-213	5	5	2	0	1	1	2	2
Bacteria	class	JAQUNI01	4	4	4	0	1	1	2	4
Bacteria	class	SICC01	12	9	6	0	1	2	2	6
Bacteria	class	J058	18	18	2	0	1	1	2	2
Bacteria	class	JACOTG01	5	4	2	0	1	2	2	2
Bacteria	class	JAFGQW01	3	3	2	0	1	1	2	2
Bacteria	class	SDB-A	7	6	5	0	1	1	2	5
Bacteria	class	SM23-31	18	12	3	0	2	2	2	3
Bacteria	class	GWB1-36-13	6	2	2	0	1	2	2	2
Bacteria	class	JAAYUW01	16	8	6	0	1	2	2	6
Bacteria	class	JAGLSM01	7	4	3	0	1	2	2	3
Bacteria	class	UBA12135	11	10	2	0	1	2	2	2
Bacteria	class	Entotheonellia	21	17	6	0	1	1	2	6
Bacteria	class	JAHJRX01	6	2	2	0	1	1	2	2
Bacteria	class	UBA9088	8	7	3	0	1	1	2	3
Bacteria	class	JAFGXH01	3	3	2	0	1	1	2	2
Bacteria	class	CALLYA01	6	2	2	0	2	2	2	2
Bacteria	class	DASWHO01	1	1	1	0	1	1	1	1
Bacteria	class	JAQAZP01	5	3	3	0	1	1	1	3
Bacteria	class	JBCCFW01	2	2	1	0	1	1	1	1
Bacteria	class	JAUVYG01	1	1	1	0	1	1	1	1
Bacteria	class	JBBINU01	2	1	1	0	1	1	1	1
Bacteria	class	DASRZA01	1	1	1	0	1	1	1	1
Bacteria	class	JAAZEB01	7	3	1	0	1	1	1	1
Bacteria	class	JALVIU01	2	2	1	0	1	1	1	1
Bacteria	class	Ancaeobacteria	5	4	1	0	1	1	1	1
Bacteria	class	JAJCYG01	1	1	1	0	1	1	1	1
Bacteria	class	UBA3054	22	18	3	0	1	1	1	3
Bacteria	class	CAZWXO01	1	1	1	0	1	1	1	1
Bacteria	class	DAOUPZ01	1	1	1	0	1	1	1	1
Bacteria	class	DTU084	12	3	1	0	1	1	1	1
Bacteria	class	DUMD01	1	1	1	0	1	1	1	1
Bacteria	class	JBJDXG01	1	1	1	0	1	1	1	1
Bacteria	class	KKC1	1	1	1	0	1	1	1	1
Bacteria	class	PH28-bin88	7	4	2	0	1	1	1	2
Bacteria	class	UBA1874	1	1	1	0	1	1	1	1
Bacteria	class	UBA5435	2	1	1	0	1	1	1	1
Bacteria	class	Z-2901	5	3	3	0	1	1	1	3
Bacteria	class	JAJCYS01	1	1	1	0	1	1	1	1
Bacteria	class	CAYYBZ01	1	1	1	0	1	1	1	1
Bacteria	class	JANQFH01	1	1	1	0	1	1	1	1
Bacteria	class	CAYJRR01	1	1	1	0	1	1	1	1
Bacteria	class	CAYMEV01	2	2	2	0	1	1	1	2
Bacteria	class	CAYUVA01	1	1	1	0	1	1	1	1
Bacteria	class	JAYEMH01	3	3	1	0	1	1	1	1
Bacteria	class	CAZSTA01	1	1	1	0	1	1	1	1
Bacteria	class	CAZTWC01	1	1	1	0	1	1	1	1
Bacteria	class	JAGLHV01	8	4	2	0	1	1	1	2
Bacteria	class	CAZUQH01	1	1	1	0	1	1	1	1
Bacteria	class	JACPHN01	1	1	1	0	1	1	1	1
Bacteria	class	JAHJIN01	3	2	1	0	1	1	1	1
Bacteria	class	DASVDK01	2	2	2	0	1	1	1	2
Bacteria	class	UBA1551	9	2	1	0	1	1	1	1
Bacteria	class	CAZCTP01	1	1	1	0	1	1	1	1
Bacteria	class	DSWW01	11	9	3	0	1	1	1	3
Bacteria	class	DTXE01	1	1	1	0	1	1	1	1
Bacteria	class	JACPFL01	2	1	1	0	1	1	1	1
Bacteria	class	JAFDIG01	1	1	1	0	1	1	1	1
Bacteria	class	JAPLJL01	3	3	2	0	1	1	1	2
Bacteria	class	JAZFTZ01	1	1	1	0	1	1	1	1
Bacteria	class	JBBIRW01	3	2	2	0	1	1	1	2
Bacteria	class	Tariuqbacteria	3	3	1	0	1	1	1	1
Bacteria	class	JBDRON01	1	1	1	0	1	1	1	1
Bacteria	class	CAYVZU01	1	1	1	0	1	1	1	1
Bacteria	class	JADFSZ01	1	1	1	0	1	1	1	1
Bacteria	class	J088	3	3	1	0	1	1	1	1
Bacteria	class	JACPQY01	2	2	1	0	1	1	1	1
Bacteria	class	JACPSX01	2	2	1	0	1	1	1	1
Bacteria	class	JACRDZ01	2	2	1	0	1	1	1	1
Bacteria	class	JAJRWM01	1	1	1	0	1	1	1	1
Bacteria	class	JAQUKH01	3	3	3	0	1	1	1	3
Bacteria	class	JAEEML01	1	1	1	0	1	1	1	1
Bacteria	class	JAFGND01	1	1	1	0	1	1	1	1
Bacteria	class	JAHJDO01	10	9	5	0	1	1	1	5
Bacteria	class	JAJRZV01	1	1	1	0	1	1	1	1
Bacteria	class	JALSQH01	2	2	1	0	1	1	1	1
Bacteria	class	JBDRGX01	1	1	1	0	1	1	1	1
Bacteria	class	JBFMHD01	1	1	1	0	1	1	1	1
Bacteria	class	G020348925	2	2	1	0	1	1	1	1
Bacteria	class	4484-107	9	6	1	0	1	1	1	1
Bacteria	class	CBDCVA01	2	1	1	0	1	1	1	1
Bacteria	class	CBDEFO01	2	2	2	0	1	1	1	2
Bacteria	class	MVCY01	10	7	2	0	1	1	1	2
Bacteria	class	2-12-FULL-62-27	5	4	1	0	1	1	1	1
Bacteria	class	CAYMKA01	1	1	1	0	1	1	1	1
Bacteria	class	CAYSPT01	2	2	1	0	1	1	1	1
Bacteria	class	DAOVTB01	1	1	1	0	1	1	1	1
Bacteria	class	JACPTQ01	1	1	1	0	1	1	1	1
Bacteria	class	JADLHZ01	2	2	1	0	1	1	1	1
Bacteria	class	JAJVIH01	2	2	1	0	1	1	1	1
Bacteria	class	CAZTSL01	1	1	1	0	1	1	1	1
Bacteria	class	JAADFL01	1	1	1	0	1	1	1	1
Bacteria	class	JAVEVO01	2	2	1	0	1	1	1	1
Bacteria	class	UBA6777	11	6	1	0	1	1	1	1
Bacteria	class	RBG-16-64-22	5	4	2	0	1	1	1	2
Bacteria	class	Oederibacteriia	2	1	1	0	1	1	1	1
Bacteria	class	JACPQZ01	1	1	1	0	1	1	1	1
Bacteria	class	JAUWXU01	3	3	1	0	1	1	1	1
Bacteria	class	CG2-30-54-11	6	5	1	0	1	1	1	1
Bacteria	class	CPR3	9	2	1	0	1	1	1	1
Bacteria	class	DYJS01	2	2	1	0	1	1	1	1
Bacteria	class	JACMRA01	28	27	1	0	1	1	1	1
Bacteria	class	SOKK01	3	2	1	0	1	1	1	1
Bacteria	class	B129-G9	8	6	1	0	1	1	1	1
Bacteria	class	B143-G9	4	4	1	0	1	1	1	1
Bacteria	class	CAZGEP01	1	1	1	0	1	1	1	1
Bacteria	class	E44-bin39	2	1	1	0	1	1	1	1
Bacteria	class	JACQVV01	4	4	1	0	1	1	1	1
Bacteria	class	JADGBV01	2	2	1	0	1	1	1	1
Bacteria	class	JAMOSO01	1	1	1	0	1	1	1	1
Bacteria	class	JAZDJP01	1	1	1	0	1	1	1	1
Bacteria	class	OFTM77	2	2	2	0	1	1	1	2
Bacteria	class	SBBH01	4	4	1	0	1	1	1	1
Bacteria	class	DTPJ01	3	3	1	0	1	1	1	1
Bacteria	class	MNWR01	3	1	1	0	1	1	1	1
Bacteria	class	DAOVCL01	3	3	3	0	1	1	1	3
Bacteria	class	CALGPD01	2	2	2	0	1	1	1	2
Bacteria	class	DYKD01	1	1	1	0	1	1	1	1
Bacteria	class	DYNZ01	2	2	1	0	1	1	1	1
Bacteria	class	JAGHAJ01	2	2	1	0	1	1	1	1
Bacteria	class	Thermodesulfobiia	9	4	4	0	1	1	1	4
Bacteria	class	UBA2233	3	2	2	0	1	1	1	2
Bacteria	class	JASEGY01	2	2	2	0	1	1	1	2
Bacteria	class	JASEIO01	1	1	1	0	1	1	1	1
Bacteria	class	UBA5359	11	3	2	0	1	1	1	2
Bacteria	class	UBA7526	8	6	1	0	1	1	1	1
Bacteria	class	UBA6624	13	8	1	0	1	1	1	1
Bacteria	class	JABDET01	25	3	2	0	1	1	1	2
Bacteria	class	JACPDS01	2	2	1	0	1	1	1	1
Bacteria	class	JACPDT01	1	1	1	0	1	1	1	1
Bacteria	class	JAZDOK01	1	1	1	0	1	1	1	1
Bacteria	class	SpSt-956	6	5	1	0	1	1	1	1
Bacteria	class	2-12-FULL-45-22	2	2	0	0	0	0	0	0
Bacteria	class	JADLDR01	1	1	0	0	0	0	0	0
Bacteria	class	CAZIXI01	1	1	0	0	0	0	0	0
Bacteria	class	BS750m-G25	1	1	0	0	0	0	0	0
Bacteria	class	JACPQU01	1	1	0	0	0	0	0	0
Bacteria	class	JASUSC01	2	1	0	0	0	0	0	0
Bacteria	class	JAZPYJ01	1	1	0	0	0	0	0	0
Bacteria	class	Tb-RUG-66	2	2	0	0	0	0	0	0
Bacteria	class	JBBSVG01	1	1	0	0	0	0	0	0
Bacteria	class	O2-12-FULL-43-9	2	2	0	0	0	0	0	0
Bacteria	class	CAYJOG01	1	1	0	0	0	0	0	0
Bacteria	class	CAYSBA01	1	1	0	0	0	0	0	0
Bacteria	class	CAZUFC01	1	1	0	0	0	0	0	0
Bacteria	class	JAFGSJ01	1	1	0	0	0	0	0	0
Bacteria	class	JAJRTK01	1	1	0	0	0	0	0	0
Bacteria	class	Calescibacteriia	12	7	0	0	0	0	0	0
Bacteria	class	UBA4733	8	6	0	0	0	0	0	0
Bacteria	class	DAOWNY01	1	1	0	0	0	0	0	0
Bacteria	class	DAOWOC01	1	1	0	0	0	0	0	0
Bacteria	class	G020345765	2	2	0	0	0	0	0	0
Bacteria	class	JADFXK01	4	4	0	0	0	0	0	0
Bacteria	class	JAFDED01	2	2	0	0	0	0	0	0
Bacteria	class	JAZDOA01	1	1	0	0	0	0	0	0
Bacteria	class	CAYGWX01	1	1	0	0	0	0	0	0
Bacteria	class	BS150m-G59	1	1	0	0	0	0	0	0
Bacteria	class	JACPUC01	1	1	0	0	0	0	0	0
Bacteria	class	JACQOV01	1	1	0	0	0	0	0	0
Bacteria	class	JAMORN01	1	1	0	0	0	0	0	0
Bacteria	class	JAMOTN01	1	1	0	0	0	0	0	0
Bacteria	class	JAUXIQ01	2	2	0	0	0	0	0	0
Bacteria	class	JBBIVP01	1	1	0	0	0	0	0	0
Bacteria	class	LJUI01	3	1	0	0	0	0	0	0
Bacteria	class	CAZTBA01	1	1	0	0	0	0	0	0
Bacteria	class	JBAZXJ01	1	1	0	0	0	0	0	0
Bacteria	class	BS750m-G34	2	2	0	0	0	0	0	0
Bacteria	class	JADGAW01	1	1	0	0	0	0	0	0
Bacteria	class	JAOUDF01	1	1	0	0	0	0	0	0
Bacteria	class	JAUXIB01	2	2	0	0	0	0	0	0
Bacteria	class	GCA-2792135	1	1	0	0	0	0	0	0
Bacteria	class	JACQLU01	1	1	0	0	0	0	0	0
Bacteria	class	CAYHQZ01	1	1	0	0	0	0	0	0
Bacteria	class	CAYMFW01	1	1	0	0	0	0	0	0
Bacteria	class	GCA-2746535	1	1	0	0	0	0	0	0
Bacteria	class	J132	1	1	0	0	0	0	0	0
Bacteria	class	JACQVX01	1	1	0	0	0	0	0	0
Bacteria	class	JAKEIC01	5	4	0	0	0	0	0	0
Bacteria	class	JAPUJT01	1	1	0	0	0	0	0	0
Bacteria	class	JBBTDB01	2	1	0	0	0	0	0	0
Bacteria	class	JBDREB01	1	1	0	0	0	0	0	0
Bacteria	class	JBFWNO01	1	1	0	0	0	0	0	0
Bacteria	class	Uabimicrobiia	16	9	0	0	0	0	0	0
Bacteria	class	CAZYWQ01	1	1	0	0	0	0	0	0
Bacteria	class	T1SED10-198M	1	1	0	0	0	0	0	0
Bacteria	class	UBA9089	2	1	0	0	0	0	0	0
Bacteria	class	JAMCWD01	1	1	0	0	0	0	0	0
Bacteria	class	JAMDEM01	1	1	0	0	0	0	0	0
