accession	source	organism_name
GCA_014730165.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_046497275.1	GTDB:Asgardarchaeota	Promethearchaeia archaeon
GCA_018238545.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_030668825.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_030668875.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_030149205.1	GTDB:Asgardarchaeota	Candidatus Heimdallarchaeota archaeon
GCA_014730275.1	GTDB:Asgardarchaeota	Promethearchaeota archaeon
GCA_018335335.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_046482545.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_019057475.1	GTDB:Asgardarchaeota	Candidatus Thorarchaeota archaeon
GCA_016840425.1	GTDB:Asgardarchaeota	Candidatus Wukongarchaeum yapensis
