file	source	target_taxa	rank	num_genes	link	pfam_names	pfam_accessions	md5	domain	parent	gtdb_release	pfam_version	num_genomes	derep_rank	date_built
Asgardarchaeota.hmm	https://doi.org/10.1093/bioinformatics/btz188	asgardarchaeota	phylum	87	https://github.com/AstrobioMike/GToTree/releases/download/gtdb-scg-sets-r232/Asgardarchaeota.hmm	acVLRF1,AMMECR1,Archease,Carb_kinase,CGI-121,CitG,CTP-dep_RFKase,Cytidylate_kin2,DFP,DUF2095,DUF211,DUF359,DUF371,DUF424,DUF655,eIF-6,EMG1,Endo_dU,Enolase_C,ESCRT-II,Ham1p_like,HMG-CoA_red,jr-ZPR1,Memo,MobB,NFACT_N,PF1765-like,PIN_9,PPS_PS,Prefoldin_2,Prenyltransf,PTH2,PyrI,Ribonucleas_3_2,Ribosomal_L1,Ribosomal_L13,Ribosomal_L14,Ribosomal_L15e,Ribosomal_L16,Ribosomal_L18,Ribosomal_L18A,Ribosomal_L21e,Ribosomal_L22,Ribosomal_L23,Ribosomal_L26,Ribosomal_L29,Ribosomal_L3,Ribosomal_L31e,Ribosomal_L32e,Ribosomal_L34e,Ribosomal_L37ae,Ribosomal_L4,Ribosomal_L44,Ribosomal_L5e,Ribosomal_L6,Ribosomal_S10,Ribosomal_S13,Ribosomal_S15,Ribosomal_S17,Ribosomal_S17e,Ribosomal_S19,Ribosomal_S19e,Ribosomal_S2,Ribosomal_S24e,Ribosomal_S27e,Ribosomal_S28e,Ribosomal_S3Ae,Ribosomal_S7,Ribosomal_S8,Ribosomal_S8e,Ribosomal_S9,Ribosom_S12_S23,Rib_5-P_isom_A,RNase_P_p30,RNase_P_Rpp14,RNA_pol_Rpb4,RTC,SecY,Spt4,STT3,TIM,Translin,TRM,tRNA-synt_1d,tRNA_deacylase,TruD,UPF0147	PF18859.7,PF01871.23,PF01951.22,PF01256.23,PF08617.16,PF01874.23,PF01982.23,PF13189.13,PF04127.23,PF09868.15,PF02680.21,PF04019.18,PF04027.19,PF04242.19,PF04919.19,PF01912.25,PF03587.20,PF01949.24,PF00113.29,PF05871.19,PF01725.22,PF00368.24,PF22794.2,PF01875.24,PF03205.21,PF05833.17,PF02594.22,PF18477.8,PF02006.24,PF01920.26,PF01255.25,PF01981.22,PF01948.24,PF11469.14,PF00687.27,PF00572.25,PF00238.25,PF00827.23,PF00252.25,PF17135.10,PF01775.23,PF01157.25,PF00237.25,PF00276.26,PF16906.12,PF00831.29,PF00297.29,PF01198.25,PF01655.24,PF01199.24,PF01780.26,PF00573.28,PF00935.26,PF17144.10,PF00347.29,PF00338.28,PF00416.28,PF00312.28,PF00366.27,PF00833.24,PF00203.27,PF01090.26,PF00318.26,PF01282.26,PF01667.24,PF01200.25,PF01015.24,PF00177.28,PF00410.25,PF01201.28,PF00380.26,PF00164.32,PF06026.21,PF01876.24,PF01900.25,PF03874.22,PF01137.27,PF00344.26,PF06093.20,PF02516.21,PF00121.25,PF01997.22,PF02005.23,PF00750.26,PF04414.19,PF01142.24,PF03685.20	95dde0ad819bbb02aa320217237618b4	Archaea	Archaea	r232	38.2	90	species	2026-08-11
Bdellovibrionota.hmm	https://doi.org/10.1093/bioinformatics/btz188	bdellovibrionota	phylum	93	https://github.com/AstrobioMike/GToTree/releases/download/gtdb-scg-sets-r232/Bdellovibrionota.hmm	Adenylsucc_synt,ADK,AdoHcyase,ATP-synt,ATP-synt_A,ATP-synt_C,ATP-synt_DE_N,CarD_C,CinA,CoaE,CsrA,Cytidylate_kin,DAP_epimerase,DciA,EF_TS,Enolase_C,Exonuc_VII_L,Exonuc_VII_S,FlgM,GrpE,IPPT,LacAB_rpiB,LpxK,Methyltransf_5,MnmE_helical,NDK,NusG,OMPdecase,OmpH,OSCP,Pept_tRNA_hydro,PGI,PGK,PgpA,Prenyltransf,Queuosine_synth,RBFA,Ribosomal_L1,Ribosomal_L13,Ribosomal_L14,Ribosomal_L16,Ribosomal_L17,Ribosomal_L18p,Ribosomal_L19,Ribosomal_L20,Ribosomal_L21p,Ribosomal_L22,Ribosomal_L23,Ribosomal_L27,Ribosomal_L28,Ribosomal_L29,Ribosomal_L3,Ribosomal_L31,Ribosomal_L35p,Ribosomal_L4,Ribosomal_L6,Ribosomal_L9_C,Ribosomal_S10,Ribosomal_S11,Ribosomal_S13,Ribosomal_S15,Ribosomal_S17,Ribosomal_S19,Ribosomal_S2,Ribosomal_S20p,Ribosomal_S6,Ribosomal_S7,Ribosomal_S8,Ribosomal_S9,Ribosom_S12_S23,Ribul_P_3_epim,RNase_HII,RNA_pol_L,RNA_pol_Rpb6,RRF,RuvC,SecE,SecG,SecY,SHMT,SMC_ScpA,SMC_ScpB,SmpB,TatC,TIM,tRNA-synt_1d,tRNA-synt_2c,tRNA-synt_His,tRNA_m1G_MT,YajC,YbeY,YceG,YqeY	PF00709.28,PF00406.30,PF05221.24,PF00231.25,PF00119.26,PF00137.27,PF02823.23,PF21095.4,PF02464.24,PF01121.27,PF02599.22,PF02224.25,PF01678.25,PF05258.18,PF00889.26,PF00113.29,PF02601.21,PF02609.22,PF04316.20,PF01025.25,PF01715.24,PF02502.24,PF02606.21,PF01795.26,PF12631.13,PF00334.25,PF02357.25,PF00215.31,PF03938.20,PF00213.24,PF01195.27,PF00342.25,PF00162.25,PF04608.19,PF01255.25,PF02547.21,PF02033.24,PF00687.27,PF00572.25,PF00238.25,PF00252.25,PF01196.25,PF00861.28,PF01245.27,PF00453.24,PF00829.27,PF00237.25,PF00276.26,PF01016.25,PF00830.25,PF00831.29,PF00297.29,PF01197.24,PF01632.25,PF00573.28,PF00347.29,PF03948.20,PF00338.28,PF00411.25,PF00416.28,PF00312.28,PF00366.27,PF00203.27,PF00318.26,PF01649.24,PF01250.23,PF00177.28,PF00410.25,PF00380.26,PF00164.32,PF00834.26,PF01351.26,PF01193.30,PF01192.28,PF01765.25,PF02075.24,PF00584.26,PF03840.21,PF00344.26,PF00464.26,PF02616.20,PF04079.23,PF01668.24,PF00902.24,PF00121.25,PF00750.26,PF01411.25,PF13393.12,PF01746.27,PF02699.22,PF02130.25,PF02618.22,PF09424.16	0c162ca3736dff3cd19e0dab7e142001	Bacteria	Bacteria	r232	38.2	245	genus	2026-08-11
Universal-Hug-et-al.hmm	www.nature.com/articles/nmicrobiol201648	bacteria,archaea,eukarya	universal	16	https://github.com/AstrobioMike/GToTree/releases/download/original-SCG-HMMs/Universal-Hug-et-al.hmm	Ribosomal_L2_C,Ribosomal_L3,Ribosomal_L4,Ribosomal_L5,Ribosomal_L6,Ribosomal_L14,Ribosomal_L27A,Ribosomal_L16,Ribosomal_L18p,Ribosomal_L22,ribosomal_L24,Ribosomal_S10,Ribosomal_S17,Ribosomal_S19,Ribosomal_S3_C,Ribosomal_S8	PF03947.23,PF00297.27,PF00573.27,PF00281.24,PF00347.28,PF00238.24,PF00828.24,PF00252.23,PF00861.27,PF00237.24,PF17136.9,PF00338.27,PF00366.25,PF00203.26,PF00189.25,PF00410.24	deeede8ba5bea1b4048f3f95b408a70f	NA	NA	NA	NA	NA	NA	NA
