accession	source	organism_name
GCA_965243505.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_965261545.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_030638415.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_020720425.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_020720455.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_022729855.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_023898385.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_965116155.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_965262715.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_965217115.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_913058265.1	GTDB:Bdellovibrionota	uncultured Oligoflexia bacterium
GCA_964231135.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_950054155.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_002720865.1	GTDB:Bdellovibrionota	Halobacteriovorax sp.
GCA_001769805.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium GWA1_52_35
GCA_016187935.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_001769835.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium GWB1_55_8
GCA_017302795.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_043730825.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_000210915.2	GTDB:Bdellovibrionota	Halobacteriovorax marinus SJ
GCA_003346865.1	GTDB:Bdellovibrionota	Halobacteriovorax vibrionivorans
GCA_009991595.1	GTDB:Bdellovibrionota	bacterium
GCA_024229115.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_015163855.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_018646675.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_018646195.1	GTDB:Bdellovibrionota	Halobacteriovoraceae bacterium
GCA_018649885.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_018663505.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_013216195.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_020435295.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_020635135.1	GTDB:Bdellovibrionota	Halobacteriovoraceae bacterium
GCA_020635115.1	GTDB:Bdellovibrionota	Halobacteriovoraceae bacterium
GCA_964400355.1	GTDB:Bdellovibrionota	uncultured Pseudobdellovibrionaceae bacterium
GCA_020435005.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_014376785.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_018266295.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_963692945.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_016186995.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_016186905.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_016193105.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_964603655.1	GTDB:Bdellovibrionota	uncultured Pseudobdellovibrionaceae bacterium
GCA_038231515.1	GTDB:Bdellovibrionota	candidate division WWE3 bacterium
GCA_016198185.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_016207775.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_964490895.1	GTDB:Bdellovibrionota	uncultured Bdellovibrio sp.
GCA_014584465.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_015232355.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_015231955.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_016784965.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_016713585.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_016714165.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_016715815.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_020847095.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_020850475.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_016786465.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_016786485.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_031374125.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_017302715.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_965140515.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_023137315.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_018001635.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_018060635.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_020435205.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_023657465.1	GTDB:Bdellovibrionota	Lysobacteraceae bacterium
GCA_019637955.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_019637915.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_019637875.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_938034385.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_020630675.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_023250675.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_050246815.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_019751945.1	GTDB:Bdellovibrionota	bacterium
GCA_041749855.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_019750295.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_027486675.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_027485695.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_029262815.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_021300175.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_964612065.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_964411885.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_022450595.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_038144835.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_938002015.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
